text,label
"Your PayPal account has been suspended! Verify now: http://paypal-security-check.com",1
"Dear user, your bank account has been compromised. Click here to secure it: http://secure-your-bank.com",1
"Important: Your Netflix subscription is expiring! Update payment here: http://netflix-billing-update.com",1
"Amazon Security Alert: Unusual activity detected. Confirm your details now: http://amazon-verification.com",1
"Your email storage is full! Upgrade now to avoid suspension: http://email-storage-upgrade.com",1
"Hi John, are we still on for the meeting at 10 AM tomorrow?",0
"Dear customer, your order #12345 has been shipped. Track here: https://amazon.com/track",0
"Reminder: Your insurance policy renewal is due next month. Contact us for details.",0
"Hey, check out this funny video: https://www.youtube.com/watch?v=xyz123",0
"Your GitHub repository has a new pull request. Review now.",0
"Dear employee, your salary slip is attached for this month.",0
"Fake Lottery! You won $1,000,000! Claim now: http://lottery-fake-prize.com",1
"HR Update: New company policies have been uploaded. Review at: https://companyportal.com",0
"Your password will expire in 24 hours. Reset it here: http://password-reset.com",1
"Urgent! Your social media account has been hacked. Secure it now: http://recover-your-account.com",1
"Hello team, here is the updated project report for review.",0
